id,text,reporterCodeIsoAlpha3,world_part
776,Тонга,TON,Австралия и Океания
780,Тринидад и Тобаго,TTO,Америка
788,Тунис,TUN,Африка
792,Турция,TUR,Азия
795,Туркменистан,TKM,Азия
796,Острова Теркс и Кайкос,TCA,Америка
798,Тувалу,TUV,Австралия и Океания
800,Уганда,UGA,Африка
804,Украина,UKR,Европа
784,ОАЭ,ARE,Азия
826,Великобритания,GBR,Европа
834,Объединённая Республика Танзания,TZA,Африка
858,Уругвай,URY,Америка
850,Американские Виргинские острова (до 1980),VIR,Америка
842,США,USA,Америка
841,США и Пуэрто-Рико (до 1980),USA,Америка
810,СССР (до 1990),SUN,Азия
860,Узбекистан,UZB,Азия
548,Вануату,VUT,Австралия и Океания
862,Венесуэла,VEN,Америка
704,Вьетнам,VNM,Азия
876,Уоллис и Футуна,WLF,Австралия и Океания
887,Йемен,YEM,Азия
890,Югославия (до 1991),YUG,Европа
894,Замбия,ZMB,Африка
836,Занзибар и Пемба (до 1964),_ZP,Африка
716,Зимбабве,ZWE,Африка
